month,incoming_bid_avg_sun,incoming_bid_avg_sbn,dpk_bankumum,dv_bankindonesia,vix_index,bfcius_bberg
2021-07-01,89.47655,71.688725,6965.828,1,17.48818182,1.233772727
2021-08-01,100.3208,81.01802,7059.54283,1,17.47272727,1.214318182
2021-09-01,69.7473,60.370175,7162.28834,1,19.66954545,1.149818182
2021-10-01,59.84145,54.7921,7244.983,1,17.87142857,1.184761905
2021-11-01,0,48.6971,7323.3563,1,18.2580951,1.088863636
2021-12-01,0,0,7479.463,1,21.120909,0.81226087
2022-01-01,81.211,64.016025,7362.58,1,23.18999995,0.797714286
2022-02-01,74.4214,52.9338,7384.39407,1,25.57473679,0.3752
2022-03-01,52.0954,23.6214,7481.675,1,26.9247827,-0.414
2022-04-01,48.7426,15.1254,7485.68711,1,24.23249995,-0.173047619
2022-05-01,30.6906,16.98371667,7515.53847,1,29.44,-0.865818182
2022-06-01,39.30305,27.379475,7602.29683,1,28.03476205,-0.6945
